Kennewick.O3,Kennewick.OZONE_AIRPACT4,WRF_4km_BCAA.Surface_pres_Pa,WRF_4km_BCAA.PBL_m,WRF_4km_BCAA.T_K,WRF_4km_BCAA.windspeed_m_per_s,WRF_4km_BCAA.WindDir_deg,WRF_4km_BCAA.RH_pct,Wildfire_smoke_caused_excess_ozone_YN,date
26.0,33.7,97691.56,168.88042,297.263,3.370607,242.7419,42.0,N,2017-05-04 22:00:00
20.0,30.8,97781.02,334.7664,297.3927,7.109841,232.2185,47.9,N,2017-05-04 23:00:00
15.0,30.3,97738.52,123.55456000000001,293.73154,4.7608504,244.32515,62.2,N,2017-05-05 00:00:00
19.0,34.0,97783.52,276.52887000000004,294.64035,8.334088000000001,227.16747,57.6,N,2017-05-05 01:00:00
,38.7,97789.21,362.494,292.35077,5.1938787,264.09787,70.1,N,2017-05-05 02:00:00
24.0,34.0,97850.48,253.18877999999998,292.24432,5.2985415,211.1674,67.7,N,2017-05-05 03:00:00
19.0,21.8,97926.05,254.83011000000002,291.8086,10.241838000000001,209.17302,76.5,N,2017-05-05 04:00:00
21.0,19.6,97991.74,319.17682,291.082,10.600458999999999,207.98805,77.6,N,2017-05-05 05:00:00
25.0,19.3,98015.516,52.461197,290.65244,11.984414,206.92531,73.3,N,2017-05-05 06:00:00
21.0,19.3,98156.0,322.98535,289.654,9.816347,212.9201,76.9,N,2017-05-05 07:00:00
19.0,21.2,98226.73,271.80765,290.87973,8.9949255,220.68204,66.5,N,2017-05-05 08:00:00
19.0,23.8,98308.77,706.88916,293.08475,6.5916367,230.6355,54.9,N,2017-05-05 09:00:00
19.0,28.1,98328.92,894.8818,294.0219,7.635935000000001,218.46687000000003,48.2,N,2017-05-05 10:00:00
20.0,29.3,98388.55,583.269,293.13815,8.47763,220.85536000000002,47.4,N,2017-05-05 11:00:00
21.0,31.4,98385.6,551.622,293.77072000000004,8.034241999999999,215.18642000000003,41.4,N,2017-05-05 12:00:00
23.0,34.0,98301.97,978.9177,295.303,8.309253,224.61742999999998,32.5,N,2017-05-05 13:00:00
25.0,35.2,98280.52,2067.4727,297.5551,8.128134,242.88893,27.5,N,2017-05-05 14:00:00
26.0,38.1,98277.46,2168.4258,297.53064,6.677816,256.99683,28.8,N,2017-05-05 15:00:00
36.0,37.0,98320.05,2219.5012,296.28592000000003,7.432119999999999,275.89273,32.0,N,2017-05-05 16:00:00
37.0,35.2,98399.57,2036.8668,294.62692000000004,7.8374695999999995,279.27966000000004,32.1,N,2017-05-05 17:00:00
36.0,34.8,98476.28,806.23334,292.4911,7.153969999999999,283.31857,32.8,N,2017-05-05 18:00:00
39.0,36.0,98597.01,501.8411,290.7741,5.7999578000000005,314.60654,36.7,N,2017-05-05 19:00:00
41.0,36.8,98718.375,404.4915,288.52907999999996,7.5454097,321.7828,42.6,N,2017-05-05 20:00:00
39.0,34.7,98789.22,303.20746,287.1453,6.791228,318.4399,47.5,N,2017-05-05 21:00:00
